years,ACCESS-CM2,ACCESS-ESM1-5,BCC-CSM2-MR,CESM2,CMCC-ESM2,CNRM-CM6-1,CNRM-ESM2-1,EC-Earth3,FGOALS-g3,GFDL-ESM4,GISS-E2-1-G,INM-CM4-8,INM-CM5-0,IPSL-CM6A-LR,KACE-1-0-G,MIROC6,MIROC-ES2L,MPI-ESM1-2-HR,MPI-ESM1-2-LR,MRI-ESM2-0,NorESM2-LM,NorESM2-MM,mme-mean,mme-median,mme-pct25,mme-pct75
1969.0,11.0,15.0,9.0,11.0,6.0,12.0,10.0,1.0,13.0,4.0,15.0,13.0,12.0,8.0,11.0,14.0,13.0,8.0,10.0,13.0,12.0,11.0,10.545454545454545,11.0,9.25,13.0
1970.0,13.0,8.0,19.0,11.0,3.0,8.0,9.0,7.0,16.0,6.0,4.0,9.0,7.0,11.0,11.0,10.0,17.0,16.0,5.0,8.0,13.0,9.0,10.0,9.0,7.25,12.5
1971.0,10.0,5.0,10.0,13.0,6.0,12.0,4.0,9.0,9.0,8.0,13.0,4.0,14.0,21.0,9.0,5.0,5.0,18.0,12.0,9.0,13.0,3.0,9.636363636363637,9.0,5.25,12.75
1972.0,17.0,7.0,12.0,10.0,8.0,10.0,6.0,8.0,16.0,6.0,13.0,13.0,11.0,21.0,11.0,6.0,9.0,6.0,12.0,16.0,9.0,7.0,10.636363636363637,10.0,7.25,12.75
1973.0,15.0,16.0,13.0,9.0,18.0,10.0,6.0,4.0,13.0,8.0,18.0,12.0,12.0,12.0,7.0,7.0,10.0,8.0,13.0,9.0,17.0,8.0,11.136363636363637,11.0,8.0,13.0
1974.0,12.0,8.0,13.0,12.0,7.0,5.0,9.0,6.0,10.0,4.0,16.0,9.0,4.0,15.0,11.0,12.0,12.0,7.0,8.0,13.0,10.0,12.0,9.772727272727273,10.0,7.25,12.0
1975.0,10.0,14.0,8.0,5.0,9.0,2.0,6.0,14.0,7.0,4.0,6.0,9.0,18.0,16.0,8.0,14.0,17.0,10.0,10.0,14.0,8.0,16.0,10.227272727272727,9.5,7.25,14.0
1976.0,12.0,5.0,13.0,11.0,5.0,7.0,8.0,5.0,14.0,5.0,15.0,11.0,13.0,12.0,5.0,7.0,19.0,10.0,10.0,8.0,10.0,9.0,9.727272727272727,10.0,7.0,12.0
1977.0,10.0,6.0,8.0,12.0,8.0,8.0,12.0,10.0,19.0,7.0,12.0,8.0,23.0,11.0,5.0,14.0,7.0,7.0,9.0,8.0,15.0,12.0,10.5,9.5,8.0,12.0
1978.0,15.0,7.0,12.0,9.0,11.0,8.0,7.0,7.0,17.0,8.0,7.0,7.0,16.0,13.0,7.0,11.0,9.0,11.0,13.0,8.0,10.0,9.0,10.090909090909092,9.0,7.25,11.75
1979.0,7.0,9.0,12.0,9.0,7.0,8.0,8.0,10.0,23.0,7.0,11.0,10.0,11.0,15.0,8.0,5.0,12.0,7.0,9.0,10.0,9.0,13.0,10.0,9.0,8.0,11.0
1980.0,10.0,9.0,8.0,12.0,6.0,12.0,7.0,11.0,11.0,3.0,9.0,13.0,16.0,25.0,13.0,4.0,12.0,9.0,11.0,10.0,14.0,6.0,10.5,10.5,8.25,12.0
1981.0,12.0,7.0,18.0,4.0,7.0,12.0,6.0,7.0,10.0,7.0,20.0,11.0,11.0,23.0,8.0,2.0,10.0,11.0,11.0,7.0,11.0,8.0,10.136363636363637,10.0,7.0,11.0
1982.0,16.0,6.0,6.0,9.0,7.0,4.0,6.0,11.0,19.0,9.0,2.0,14.0,20.0,8.0,7.0,12.0,7.0,6.0,9.0,11.0,12.0,8.0,9.5,8.5,6.25,11.75
1983.0,10.0,7.0,12.0,8.0,14.0,10.0,5.0,16.0,12.0,3.0,9.0,10.0,12.0,18.0,9.0,13.0,5.0,15.0,7.0,14.0,14.0,8.0,10.5,10.0,8.0,13.75
1984.0,10.0,6.0,10.0,5.0,8.0,7.0,9.0,5.0,15.0,7.0,12.0,10.0,2.0,8.0,11.0,12.0,8.0,6.0,15.0,14.0,11.0,7.0,9.0,8.5,7.0,11.0
1985.0,14.0,1.0,5.0,8.0,9.0,8.0,8.0,9.0,12.0,6.0,10.0,17.0,7.0,5.0,8.0,9.0,12.0,13.0,8.0,12.0,8.0,6.0,8.863636363636363,8.0,7.25,11.5
1986.0,12.0,17.0,6.0,18.0,8.0,11.0,9.0,8.0,21.0,5.0,18.0,11.0,18.0,11.0,10.0,9.0,15.0,12.0,15.0,5.0,12.0,4.0,11.590909090909092,11.0,8.25,15.0
1987.0,9.0,19.0,15.0,14.0,6.0,7.0,10.0,13.0,8.0,5.0,7.0,16.0,8.0,18.0,17.0,7.0,11.0,9.0,10.0,5.0,10.0,3.0,10.318181818181818,9.5,7.0,13.75
1988.0,11.0,6.0,18.0,16.0,9.0,8.0,14.0,7.0,19.0,5.0,7.0,3.0,10.0,17.0,11.0,8.0,2.0,8.0,9.0,7.0,15.0,12.0,10.090909090909092,9.0,7.0,13.5
1989.0,7.0,5.0,11.0,5.0,17.0,14.0,4.0,10.0,13.0,5.0,8.0,10.0,4.0,16.0,3.0,7.0,12.0,7.0,12.0,4.0,15.0,14.0,9.227272727272727,9.0,5.0,12.75
1990.0,14.0,9.0,9.0,10.0,8.0,13.0,11.0,20.0,14.0,8.0,13.0,9.0,18.0,11.0,10.0,11.0,14.0,7.0,17.0,7.0,11.0,11.0,11.590909090909092,11.0,9.0,13.75
1991.0,16.0,11.0,9.0,13.0,6.0,6.0,7.0,14.0,13.0,5.0,6.0,19.0,11.0,17.0,10.0,6.0,12.0,14.0,9.0,10.0,13.0,14.0,10.954545454545455,11.0,7.5,13.75
1992.0,8.0,7.0,13.0,10.0,9.0,12.0,5.0,4.0,12.0,4.0,7.0,7.0,19.0,16.0,9.0,12.0,12.0,7.0,16.0,7.0,7.0,2.0,9.318181818181818,8.5,7.0,12.0
1993.0,19.0,7.0,15.0,3.0,9.0,11.0,7.0,14.0,11.0,8.0,11.0,17.0,12.0,15.0,14.0,13.0,7.0,11.0,12.0,12.0,4.0,5.0,10.772727272727273,11.0,7.25,13.75
1994.0,13.0,6.0,13.0,8.0,9.0,8.0,4.0,5.0,20.0,12.0,11.0,6.0,14.0,15.0,13.0,9.0,13.0,19.0,7.0,10.0,4.0,14.0,10.590909090909092,10.5,7.25,13.0
1995.0,8.0,11.0,11.0,17.0,2.0,9.0,11.0,6.0,13.0,9.0,9.0,11.0,4.0,5.0,14.0,4.0,18.0,11.0,8.0,11.0,12.0,6.0,9.545454545454545,10.0,6.5,11.0
1996.0,10.0,25.0,14.0,3.0,8.0,3.0,11.0,12.0,12.0,10.0,10.0,10.0,3.0,8.0,10.0,3.0,14.0,8.0,13.0,6.0,11.0,17.0,10.045454545454545,10.0,8.0,12.0
1997.0,12.0,12.0,8.0,9.0,13.0,17.0,10.0,12.0,9.0,3.0,17.0,10.0,11.0,7.0,19.0,8.0,11.0,5.0,15.0,15.0,8.0,14.0,11.136363636363637,11.0,8.25,13.75
1998.0,8.0,17.0,17.0,13.0,12.0,7.0,6.0,11.0,17.0,9.0,15.0,10.0,13.0,11.0,8.0,15.0,7.0,9.0,16.0,6.0,15.0,7.0,11.318181818181818,11.0,8.0,15.0
1999.0,10.0,11.0,12.0,4.0,7.0,9.0,5.0,10.0,7.0,9.0,7.0,17.0,13.0,15.0,4.0,8.0,6.0,12.0,8.0,9.0,5.0,11.0,9.045454545454545,9.0,7.0,11.0
2000.0,7.0,3.0,13.0,12.0,12.0,8.0,8.0,8.0,11.0,10.0,20.0,8.0,11.0,13.0,23.0,12.0,12.0,16.0,5.0,7.0,15.0,6.0,10.909090909090908,11.0,8.0,12.75
2001.0,6.0,9.0,8.0,11.0,10.0,8.0,8.0,8.0,10.0,13.0,15.0,16.0,21.0,10.0,10.0,7.0,16.0,20.0,7.0,11.0,25.0,7.0,11.636363636363637,10.0,8.0,14.5
2002.0,8.0,17.0,9.0,9.0,18.0,5.0,8.0,7.0,19.0,10.0,17.0,10.0,3.0,15.0,19.0,6.0,9.0,9.0,13.0,10.0,5.0,6.0,10.545454545454545,9.0,7.25,14.5
2003.0,12.0,7.0,9.0,8.0,12.0,17.0,14.0,8.0,12.0,13.0,11.0,13.0,15.0,10.0,10.0,23.0,8.0,14.0,9.0,7.0,14.0,10.0,11.636363636363637,11.5,9.0,13.75
2004.0,16.0,9.0,10.0,7.0,8.0,6.0,8.0,9.0,14.0,11.0,11.0,11.0,18.0,10.0,11.0,6.0,17.0,12.0,13.0,10.0,15.0,13.0,11.136363636363637,11.0,9.0,13.0
2005.0,12.0,9.0,7.0,13.0,3.0,11.0,7.0,11.0,7.0,13.0,8.0,8.0,18.0,18.0,9.0,7.0,19.0,2.0,6.0,11.0,6.0,10.0,9.772727272727273,9.0,7.0,11.75
2006.0,15.0,8.0,8.0,11.0,13.0,9.0,8.0,10.0,11.0,7.0,12.0,13.0,12.0,12.0,7.0,4.0,6.0,8.0,9.0,11.0,9.0,10.0,9.681818181818182,9.5,8.0,11.75
2007.0,7.0,11.0,10.0,11.0,12.0,7.0,10.0,15.0,17.0,5.0,18.0,9.0,10.0,7.0,9.0,8.0,8.0,9.0,12.0,6.0,15.0,10.0,10.272727272727273,10.0,8.0,11.75
2008.0,15.0,3.0,9.0,5.0,14.0,9.0,9.0,11.0,11.0,14.0,12.0,14.0,4.0,5.0,12.0,14.0,7.0,9.0,13.0,10.0,11.0,5.0,9.818181818181818,10.5,7.5,12.75
2009.0,10.0,9.0,5.0,10.0,7.0,10.0,9.0,7.0,7.0,6.0,7.0,5.0,6.0,13.0,12.0,11.0,14.0,14.0,16.0,8.0,8.0,10.0,9.272727272727273,9.0,7.0,10.75
2010.0,15.0,11.0,11.0,9.0,10.0,5.0,4.0,8.0,9.0,8.0,14.0,17.0,7.0,7.0,7.0,9.0,20.0,14.0,10.0,4.0,11.0,4.0,9.727272727272727,9.0,7.0,11.0
2011.0,16.0,9.0,11.0,4.0,10.0,5.0,17.0,4.0,4.0,14.0,11.0,12.0,9.0,16.0,7.0,6.0,13.0,11.0,13.0,12.0,12.0,5.0,10.045454545454545,11.0,6.25,12.75
2012.0,20.0,12.0,3.0,4.0,10.0,11.0,10.0,9.0,12.0,10.0,12.0,7.0,17.0,15.0,12.0,6.0,7.0,10.0,19.0,8.0,6.0,9.0,10.409090909090908,10.0,7.25,12.0
2013.0,5.0,16.0,12.0,10.0,10.0,12.0,6.0,9.0,18.0,8.0,10.0,7.0,14.0,14.0,10.0,17.0,6.0,5.0,9.0,11.0,8.0,13.0,10.454545454545455,10.0,8.0,12.75
2014.0,10.0,6.0,15.0,15.0,3.0,10.0,8.0,8.0,14.0,5.0,16.0,6.0,8.0,7.0,13.0,7.0,18.0,9.0,14.0,15.0,10.0,14.0,10.5,10.0,7.25,14.0
2015.0,10.0,15.0,10.0,9.0,13.0,12.0,12.0,16.0,25.0,7.0,10.0,4.0,14.0,11.0,13.0,8.0,11.0,13.0,18.0,5.0,2.0,6.0,11.090909090909092,11.0,8.25,13.0
2016.0,15.0,9.0,10.0,8.0,17.0,4.0,10.0,13.0,10.0,14.0,9.0,11.0,10.0,15.0,11.0,5.0,7.0,10.0,16.0,6.0,9.0,17.0,10.727272727272727,10.0,9.0,13.75
2017.0,18.0,10.0,7.0,8.0,17.0,9.0,11.0,5.0,10.0,10.0,15.0,15.0,12.0,17.0,15.0,10.0,12.0,13.0,10.0,12.0,18.0,4.0,11.727272727272727,11.5,10.0,15.0
2018.0,13.0,13.0,12.0,20.0,6.0,8.0,17.0,10.0,13.0,9.0,8.0,15.0,17.0,15.0,20.0,11.0,16.0,13.0,10.0,8.0,18.0,12.0,12.909090909090908,13.0,10.0,15.75
2019.0,12.0,9.0,13.0,7.0,3.0,13.0,12.0,14.0,27.0,9.0,12.0,7.0,13.0,15.0,11.0,7.0,16.0,11.0,15.0,12.0,9.0,14.0,11.863636363636363,12.0,9.0,13.75
2020.0,8.0,13.0,8.0,7.0,5.0,9.0,7.0,8.0,19.0,13.0,7.0,9.0,20.0,18.0,15.0,14.0,26.0,7.0,14.0,9.0,8.0,11.0,11.590909090909092,9.0,8.0,14.0
2021.0,13.0,15.0,10.0,10.0,13.0,7.0,11.0,7.0,10.0,9.0,18.0,6.0,9.0,19.0,11.0,13.0,14.0,7.0,5.0,13.0,6.0,11.0,10.772727272727273,10.5,7.5,13.0
2022.0,13.0,17.0,1.0,10.0,12.0,11.0,12.0,15.0,18.0,6.0,10.0,17.0,11.0,16.0,14.0,11.0,8.0,10.0,10.0,15.0,13.0,4.0,11.545454545454545,11.5,10.0,14.75
2023.0,11.0,12.0,10.0,6.0,17.0,8.0,1.0,11.0,9.0,7.0,10.0,16.0,10.0,8.0,13.0,5.0,10.0,7.0,15.0,10.0,7.0,16.0,9.954545454545455,10.0,7.25,11.75
2024.0,10.0,10.0,11.0,8.0,6.0,12.0,14.0,8.0,8.0,5.0,16.0,11.0,14.0,11.0,11.0,5.0,14.0,10.0,15.0,9.0,7.0,13.0,10.363636363636363,10.5,8.0,12.75
2025.0,10.0,7.0,18.0,7.0,5.0,9.0,17.0,6.0,6.0,15.0,14.0,7.0,15.0,14.0,9.0,5.0,8.0,5.0,13.0,14.0,7.0,8.0,9.954545454545455,8.5,7.0,14.0
2026.0,12.0,13.0,18.0,3.0,6.0,12.0,12.0,12.0,9.0,11.0,15.0,13.0,7.0,10.0,18.0,12.0,9.0,13.0,9.0,9.0,5.0,4.0,10.545454545454545,11.5,9.0,12.75
2027.0,6.0,16.0,11.0,12.0,17.0,9.0,10.0,6.0,13.0,4.0,16.0,9.0,8.0,21.0,8.0,8.0,19.0,7.0,5.0,11.0,8.0,22.0,11.181818181818182,9.5,8.0,15.25
2028.0,14.0,14.0,6.0,9.0,8.0,7.0,10.0,7.0,11.0,5.0,6.0,19.0,6.0,11.0,22.0,6.0,16.0,7.0,13.0,13.0,19.0,16.0,11.136363636363637,10.5,7.0,14.0
2029.0,7.0,8.0,10.0,10.0,8.0,8.0,4.0,11.0,12.0,4.0,14.0,16.0,10.0,14.0,21.0,6.0,7.0,14.0,10.0,11.0,12.0,9.0,10.272727272727273,10.0,8.0,12.0
2030.0,15.0,8.0,14.0,11.0,8.0,13.0,10.0,15.0,11.0,12.0,13.0,12.0,6.0,13.0,11.0,11.0,11.0,11.0,9.0,8.0,6.0,7.0,10.681818181818182,11.0,8.25,12.75
2031.0,14.0,12.0,15.0,13.0,11.0,9.0,8.0,10.0,18.0,10.0,18.0,4.0,16.0,15.0,10.0,13.0,14.0,18.0,12.0,8.0,8.0,14.0,12.272727272727273,12.5,10.0,14.75
2032.0,14.0,4.0,13.0,7.0,20.0,11.0,11.0,5.0,18.0,10.0,19.0,19.0,16.0,13.0,15.0,17.0,8.0,7.0,15.0,9.0,7.0,9.0,12.136363636363637,12.0,8.25,15.75
2033.0,10.0,16.0,9.0,10.0,5.0,8.0,11.0,14.0,13.0,14.0,23.0,8.0,5.0,18.0,5.0,14.0,7.0,12.0,17.0,8.0,20.0,10.0,11.681818181818182,10.5,8.0,14.0
2034.0,11.0,5.0,12.0,2.0,2.0,5.0,12.0,15.0,14.0,2.0,12.0,13.0,9.0,14.0,7.0,7.0,3.0,11.0,8.0,10.0,9.0,15.0,9.0,9.5,5.5,12.0
2035.0,10.0,4.0,13.0,11.0,10.0,13.0,5.0,12.0,17.0,4.0,12.0,16.0,14.0,17.0,6.0,8.0,8.0,12.0,14.0,20.0,11.0,11.0,11.272727272727273,11.5,8.5,13.75
2036.0,12.0,14.0,4.0,8.0,10.0,8.0,8.0,6.0,9.0,13.0,10.0,5.0,12.0,24.0,13.0,10.0,15.0,7.0,6.0,10.0,8.0,16.0,10.363636363636363,10.0,8.0,12.75
2037.0,12.0,13.0,16.0,13.0,11.0,7.0,7.0,9.0,21.0,4.0,6.0,20.0,6.0,20.0,21.0,7.0,13.0,15.0,21.0,13.0,7.0,11.0,12.409090909090908,12.5,7.0,15.75
2038.0,7.0,14.0,13.0,10.0,6.0,6.0,12.0,10.0,9.0,12.0,14.0,12.0,8.0,17.0,11.0,11.0,10.0,17.0,13.0,6.0,13.0,13.0,11.090909090909092,11.5,9.25,13.0
2039.0,11.0,6.0,9.0,12.0,6.0,10.0,10.0,8.0,15.0,1.0,17.0,15.0,9.0,17.0,8.0,12.0,11.0,9.0,16.0,8.0,8.0,3.0,10.045454545454545,9.5,8.0,12.0
2040.0,16.0,6.0,8.0,7.0,12.0,9.0,7.0,14.0,13.0,7.0,7.0,8.0,12.0,18.0,17.0,11.0,13.0,4.0,6.0,11.0,22.0,11.0,10.863636363636363,11.0,7.0,13.0
2041.0,7.0,8.0,12.0,8.0,6.0,7.0,13.0,7.0,6.0,7.0,11.0,15.0,9.0,17.0,14.0,7.0,15.0,9.0,10.0,10.0,13.0,7.0,9.909090909090908,9.0,7.0,12.75
2042.0,13.0,14.0,11.0,9.0,12.0,6.0,8.0,8.0,9.0,6.0,11.0,8.0,15.0,21.0,16.0,9.0,16.0,9.0,18.0,20.0,16.0,14.0,12.227272727272727,11.5,9.0,15.75
2043.0,12.0,9.0,7.0,16.0,10.0,9.0,10.0,13.0,11.0,15.0,9.0,7.0,13.0,14.0,5.0,18.0,7.0,18.0,15.0,6.0,13.0,12.0,11.318181818181818,11.5,9.0,13.75
2044.0,12.0,10.0,5.0,11.0,11.0,11.0,7.0,6.0,18.0,13.0,19.0,13.0,3.0,14.0,12.0,8.0,12.0,6.0,10.0,6.0,2.0,13.0,10.090909090909092,11.0,6.25,12.75
2045.0,22.0,7.0,7.0,17.0,8.0,10.0,11.0,12.0,16.0,9.0,15.0,3.0,10.0,8.0,9.0,8.0,22.0,5.0,18.0,9.0,10.0,15.0,11.409090909090908,10.0,8.0,15.0
2046.0,16.0,11.0,12.0,9.0,4.0,6.0,8.0,12.0,9.0,2.0,9.0,14.0,11.0,12.0,13.0,12.0,17.0,5.0,19.0,6.0,4.0,8.0,9.954545454545455,10.0,6.5,12.0
2047.0,15.0,10.0,10.0,2.0,6.0,9.0,8.0,17.0,10.0,13.0,21.0,8.0,15.0,17.0,20.0,13.0,9.0,11.0,8.0,12.0,7.0,18.0,11.772727272727273,10.5,8.25,15.0
2048.0,10.0,4.0,12.0,8.0,5.0,10.0,6.0,14.0,21.0,12.0,16.0,2.0,12.0,13.0,7.0,9.0,6.0,7.0,10.0,16.0,11.0,4.0,9.772727272727273,10.0,6.25,12.0
2049.0,8.0,13.0,16.0,6.0,11.0,22.0,7.0,8.0,25.0,8.0,11.0,6.0,10.0,11.0,22.0,4.0,19.0,12.0,12.0,8.0,11.0,3.0,11.5,11.0,8.0,12.75
2050.0,12.0,13.0,9.0,13.0,13.0,8.0,9.0,9.0,14.0,5.0,16.0,11.0,14.0,12.0,19.0,17.0,15.0,10.0,7.0,13.0,8.0,9.0,11.636363636363637,12.0,9.0,13.75
2051.0,13.0,11.0,7.0,11.0,4.0,10.0,5.0,14.0,17.0,5.0,9.0,6.0,6.0,17.0,6.0,10.0,16.0,16.0,14.0,10.0,7.0,16.0,10.454545454545455,10.0,6.25,14.0
2052.0,15.0,11.0,8.0,11.0,6.0,13.0,14.0,13.0,9.0,3.0,10.0,4.0,12.0,21.0,16.0,17.0,10.0,12.0,7.0,7.0,8.0,7.0,10.636363636363637,10.5,7.25,13.0
2053.0,17.0,15.0,19.0,14.0,9.0,11.0,13.0,14.0,12.0,11.0,16.0,4.0,10.0,14.0,10.0,8.0,11.0,6.0,11.0,13.0,11.0,8.0,11.681818181818182,11.0,10.0,14.0
2054.0,10.0,7.0,15.0,9.0,10.0,13.0,11.0,11.0,17.0,8.0,3.0,14.0,8.0,13.0,17.0,11.0,17.0,16.0,8.0,10.0,9.0,17.0,11.545454545454545,11.0,9.0,14.75
2055.0,12.0,12.0,11.0,13.0,10.0,9.0,7.0,7.0,15.0,2.0,9.0,17.0,8.0,18.0,15.0,9.0,19.0,5.0,16.0,6.0,14.0,8.0,11.0,10.5,8.0,14.75
2056.0,19.0,15.0,9.0,13.0,7.0,9.0,9.0,10.0,2.0,10.0,15.0,19.0,8.0,13.0,8.0,13.0,17.0,12.0,23.0,13.0,7.0,18.0,12.227272727272727,12.5,9.0,15.0
2057.0,10.0,10.0,12.0,9.0,3.0,6.0,2.0,13.0,9.0,15.0,10.0,11.0,9.0,21.0,12.0,5.0,13.0,16.0,11.0,13.0,6.0,8.0,10.181818181818182,10.0,8.25,12.75
2058.0,11.0,12.0,14.0,10.0,8.0,12.0,6.0,11.0,14.0,11.0,16.0,8.0,12.0,11.0,10.0,11.0,19.0,15.0,13.0,12.0,15.0,2.0,11.5,11.5,10.25,13.75
2059.0,16.0,13.0,10.0,12.0,8.0,8.0,7.0,9.0,13.0,6.0,10.0,16.0,21.0,16.0,16.0,15.0,10.0,12.0,20.0,9.0,9.0,9.0,12.045454545454545,11.0,9.0,15.75
2060.0,18.0,13.0,9.0,11.0,9.0,11.0,3.0,15.0,5.0,9.0,26.0,13.0,12.0,16.0,11.0,7.0,12.0,4.0,13.0,7.0,11.0,11.0,11.181818181818182,11.0,9.0,13.0
2061.0,13.0,9.0,12.0,13.0,1.0,7.0,6.0,9.0,15.0,7.0,12.0,5.0,13.0,21.0,7.0,9.0,9.0,13.0,17.0,14.0,11.0,9.0,10.545454545454545,10.0,7.5,13.0
2062.0,14.0,11.0,17.0,18.0,9.0,8.0,16.0,8.0,10.0,8.0,17.0,10.0,16.0,14.0,10.0,10.0,12.0,8.0,24.0,10.0,18.0,6.0,12.454545454545455,10.5,9.25,16.0
2063.0,13.0,7.0,11.0,7.0,9.0,12.0,8.0,8.0,21.0,5.0,14.0,9.0,15.0,30.0,13.0,10.0,12.0,18.0,13.0,7.0,11.0,8.0,11.863636363636363,11.0,8.0,13.0
2064.0,22.0,13.0,12.0,4.0,7.0,15.0,9.0,17.0,20.0,16.0,21.0,9.0,11.0,7.0,8.0,10.0,8.0,8.0,6.0,11.0,9.0,8.0,11.409090909090908,9.5,8.0,14.5
2065.0,10.0,15.0,7.0,3.0,2.0,7.0,16.0,22.0,13.0,9.0,14.0,7.0,6.0,17.0,9.0,4.0,8.0,9.0,7.0,10.0,16.0,10.0,10.045454545454545,9.0,7.0,13.75
2066.0,8.0,12.0,10.0,8.0,3.0,9.0,18.0,13.0,12.0,5.0,18.0,17.0,12.0,19.0,18.0,7.0,11.0,9.0,17.0,8.0,12.0,15.0,11.863636363636363,12.0,8.25,16.5
2067.0,21.0,12.0,8.0,9.0,7.0,20.0,11.0,16.0,7.0,5.0,18.0,8.0,12.0,9.0,15.0,11.0,15.0,12.0,12.0,11.0,19.0,7.0,12.045454545454545,11.5,8.25,15.0
2068.0,6.0,9.0,6.0,9.0,15.0,7.0,10.0,7.0,13.0,5.0,8.0,12.0,6.0,16.0,22.0,16.0,10.0,8.0,10.0,9.0,5.0,10.0,9.954545454545455,9.0,7.0,11.5
