years,ACCESS-CM2,ACCESS-ESM1-5,BCC-CSM2-MR,CESM2,CMCC-ESM2,CNRM-CM6-1,CNRM-ESM2-1,EC-Earth3,FGOALS-g3,GFDL-ESM4,GISS-E2-1-G,INM-CM4-8,INM-CM5-0,IPSL-CM6A-LR,KACE-1-0-G,MIROC6,MIROC-ES2L,MPI-ESM1-2-HR,MPI-ESM1-2-LR,MRI-ESM2-0,NorESM2-LM,NorESM2-MM,mme-mean,mme-median,mme-pct25,mme-pct75
2006.0,6.0,5.0,10.0,8.0,8.0,8.0,9.0,14.0,8.0,9.0,3.0,5.0,11.0,2.0,4.0,8.0,4.0,7.0,7.0,9.0,7.0,3.0,7.045454545454546,7.5,5.0,8.75
2007.0,3.0,5.0,6.0,6.0,7.0,10.0,5.0,10.0,4.0,9.0,8.0,8.0,5.0,7.0,5.0,11.0,7.0,6.0,5.0,13.0,4.0,9.0,6.954545454545454,6.5,5.0,8.75
2008.0,8.0,9.0,10.0,10.0,12.0,6.0,11.0,6.0,7.0,6.0,8.0,5.0,6.0,9.0,5.0,10.0,4.0,7.0,3.0,9.0,7.0,9.0,7.590909090909091,7.5,6.0,9.0
2009.0,5.0,9.0,12.0,5.0,5.0,2.0,6.0,11.0,4.0,6.0,5.0,8.0,10.0,5.0,4.0,6.0,9.0,6.0,7.0,10.0,9.0,5.0,6.7727272727272725,6.0,5.0,9.0
2010.0,10.0,5.0,6.0,10.0,10.0,9.0,7.0,15.0,5.0,8.0,12.0,4.0,5.0,5.0,4.0,8.0,9.0,8.0,9.0,7.0,7.0,9.0,7.818181818181818,8.0,5.25,9.0
2011.0,3.0,5.0,9.0,7.0,11.0,11.0,7.0,15.0,1.0,14.0,7.0,7.0,4.0,9.0,3.0,9.0,7.0,10.0,6.0,5.0,7.0,7.0,7.454545454545454,7.0,5.25,9.0
2012.0,7.0,7.0,7.0,9.0,6.0,10.0,7.0,9.0,6.0,10.0,7.0,9.0,5.0,6.0,3.0,5.0,4.0,5.0,7.0,8.0,6.0,5.0,6.7272727272727275,7.0,5.25,7.75
2013.0,4.0,12.0,10.0,7.0,11.0,10.0,7.0,3.0,4.0,8.0,8.0,9.0,12.0,11.0,2.0,12.0,7.0,6.0,5.0,7.0,5.0,10.0,7.7272727272727275,7.5,5.25,10.0
2014.0,5.0,7.0,8.0,11.0,9.0,3.0,5.0,7.0,6.0,4.0,6.0,4.0,7.0,5.0,6.0,6.0,11.0,9.0,3.0,11.0,8.0,9.0,6.818181818181818,6.5,5.0,8.75
2015.0,9.0,16.0,5.0,9.0,7.0,8.0,6.0,14.0,4.0,9.0,10.0,5.0,11.0,6.0,14.0,5.0,8.0,7.0,8.0,7.0,5.0,14.0,8.5,8.0,6.0,9.75
2016.0,7.0,6.0,8.0,10.0,12.0,11.0,9.0,6.0,5.0,8.0,2.0,1.0,8.0,7.0,9.0,6.0,10.0,8.0,8.0,10.0,8.0,11.0,7.7272727272727275,8.0,6.25,9.75
2017.0,11.0,9.0,5.0,8.0,15.0,7.0,9.0,4.0,4.0,14.0,12.0,8.0,5.0,6.0,7.0,8.0,5.0,11.0,8.0,9.0,6.0,7.0,8.090909090909092,8.0,6.0,9.0
2018.0,4.0,9.0,12.0,11.0,5.0,6.0,4.0,4.0,4.0,10.0,13.0,12.0,10.0,6.0,12.0,2.0,6.0,10.0,7.0,10.0,6.0,12.0,7.954545454545454,8.0,5.25,10.75
2019.0,12.0,8.0,8.0,10.0,10.0,8.0,8.0,3.0,3.0,13.0,12.0,7.0,10.0,7.0,7.0,4.0,7.0,8.0,12.0,11.0,9.0,6.0,8.318181818181818,8.0,7.0,10.0
2020.0,3.0,11.0,11.0,7.0,5.0,10.0,9.0,12.0,10.0,9.0,8.0,11.0,5.0,7.0,7.0,3.0,9.0,9.0,9.0,9.0,7.0,7.0,8.090909090909092,9.0,7.0,9.75
2021.0,7.0,9.0,7.0,8.0,10.0,8.0,13.0,8.0,2.0,10.0,6.0,7.0,7.0,6.0,2.0,7.0,7.0,7.0,5.0,6.0,13.0,9.0,7.454545454545454,7.0,6.25,8.75
2022.0,8.0,8.0,11.0,13.0,21.0,10.0,14.0,6.0,5.0,13.0,6.0,4.0,14.0,8.0,10.0,9.0,16.0,8.0,6.0,7.0,8.0,7.0,9.636363636363637,8.0,7.0,12.5
2023.0,5.0,5.0,8.0,4.0,16.0,6.0,13.0,7.0,6.0,11.0,8.0,10.0,13.0,9.0,7.0,8.0,8.0,6.0,4.0,6.0,10.0,10.0,8.181818181818182,8.0,6.0,10.0
2024.0,11.0,6.0,4.0,6.0,9.0,4.0,9.0,7.0,11.0,8.0,7.0,9.0,9.0,10.0,12.0,6.0,6.0,12.0,8.0,3.0,4.0,5.0,7.545454545454546,7.5,6.0,9.0
2025.0,3.0,6.0,8.0,5.0,10.0,7.0,7.0,7.0,5.0,9.0,7.0,4.0,8.0,6.0,10.0,5.0,6.0,11.0,7.0,4.0,8.0,6.0,6.7727272727272725,7.0,5.25,8.0
2026.0,15.0,18.0,8.0,10.0,10.0,6.0,7.0,8.0,5.0,10.0,11.0,3.0,4.0,10.0,10.0,7.0,5.0,3.0,8.0,7.0,8.0,9.0,8.272727272727273,8.0,6.25,10.0
2027.0,9.0,6.0,9.0,13.0,7.0,7.0,7.0,4.0,3.0,6.0,7.0,8.0,8.0,5.0,5.0,10.0,7.0,18.0,6.0,9.0,10.0,15.0,8.136363636363637,7.0,6.0,9.0
2028.0,6.0,13.0,12.0,11.0,10.0,5.0,11.0,4.0,2.0,4.0,2.0,6.0,10.0,6.0,3.0,7.0,6.0,11.0,9.0,8.0,8.0,8.0,7.363636363636363,7.5,5.25,10.0
2029.0,9.0,9.0,12.0,9.0,5.0,4.0,8.0,11.0,10.0,6.0,5.0,4.0,10.0,7.0,8.0,8.0,8.0,18.0,4.0,13.0,3.0,9.0,8.181818181818182,8.0,5.25,9.75
2030.0,7.0,4.0,7.0,18.0,8.0,7.0,7.0,10.0,5.0,6.0,11.0,11.0,7.0,8.0,9.0,15.0,8.0,9.0,10.0,6.0,4.0,6.0,8.318181818181818,7.5,6.25,9.75
2031.0,12.0,10.0,11.0,10.0,14.0,13.0,11.0,11.0,4.0,17.0,8.0,9.0,8.0,8.0,7.0,7.0,6.0,8.0,8.0,7.0,10.0,12.0,9.590909090909092,9.5,8.0,11.0
2032.0,8.0,9.0,4.0,8.0,20.0,6.0,8.0,8.0,5.0,12.0,10.0,7.0,9.0,7.0,11.0,10.0,11.0,10.0,4.0,7.0,7.0,5.0,8.454545454545455,8.0,7.0,10.0
2033.0,8.0,6.0,12.0,10.0,8.0,8.0,9.0,10.0,5.0,11.0,7.0,4.0,8.0,4.0,1.0,4.0,6.0,8.0,6.0,13.0,9.0,5.0,7.363636363636363,8.0,5.25,9.0
2034.0,7.0,10.0,4.0,4.0,10.0,7.0,12.0,12.0,9.0,7.0,11.0,14.0,6.0,3.0,8.0,11.0,12.0,9.0,2.0,8.0,8.0,2.0,8.0,8.0,6.25,10.75
2035.0,14.0,9.0,9.0,6.0,14.0,5.0,9.0,8.0,12.0,11.0,8.0,8.0,8.0,6.0,6.0,5.0,7.0,12.0,3.0,12.0,8.0,9.0,8.590909090909092,8.0,6.25,10.5
2036.0,6.0,13.0,14.0,6.0,11.0,7.0,5.0,6.0,8.0,6.0,8.0,8.0,7.0,5.0,5.0,11.0,7.0,11.0,3.0,8.0,4.0,8.0,7.590909090909091,7.0,6.0,8.0
2037.0,11.0,17.0,13.0,12.0,13.0,5.0,12.0,9.0,10.0,8.0,7.0,8.0,8.0,3.0,10.0,6.0,13.0,7.0,8.0,17.0,3.0,6.0,9.363636363636363,8.5,7.0,12.0
2038.0,10.0,3.0,9.0,10.0,4.0,6.0,7.0,9.0,6.0,8.0,16.0,15.0,6.0,11.0,5.0,10.0,7.0,7.0,8.0,10.0,5.0,7.0,8.136363636363637,7.5,6.0,10.0
2039.0,8.0,7.0,8.0,4.0,8.0,5.0,4.0,10.0,8.0,10.0,7.0,5.0,7.0,6.0,6.0,8.0,5.0,7.0,8.0,9.0,6.0,13.0,7.2272727272727275,7.0,6.0,8.0
2040.0,9.0,11.0,3.0,9.0,13.0,11.0,13.0,7.0,6.0,7.0,4.0,6.0,11.0,8.0,5.0,8.0,4.0,6.0,7.0,9.0,7.0,8.0,7.818181818181818,7.5,6.0,9.0
2041.0,4.0,10.0,14.0,8.0,11.0,8.0,15.0,13.0,4.0,9.0,11.0,3.0,11.0,6.0,8.0,8.0,6.0,10.0,7.0,8.0,5.0,9.0,8.545454545454545,8.0,6.25,10.75
2042.0,7.0,7.0,8.0,14.0,14.0,5.0,9.0,10.0,3.0,7.0,13.0,5.0,5.0,5.0,6.0,7.0,9.0,12.0,11.0,16.0,11.0,9.0,8.772727272727273,8.5,6.25,11.0
