years,ACCESS-CM2,ACCESS-ESM1-5,BCC-CSM2-MR,CESM2,CMCC-ESM2,CNRM-CM6-1,CNRM-ESM2-1,EC-Earth3,FGOALS-g3,GFDL-ESM4,GISS-E2-1-G,INM-CM4-8,INM-CM5-0,IPSL-CM6A-LR,KACE-1-0-G,MIROC6,MIROC-ES2L,MPI-ESM1-2-HR,MPI-ESM1-2-LR,MRI-ESM2-0,NorESM2-LM,NorESM2-MM,mme-mean,mme-median,mme-pct25,mme-pct75
1962.0,19.0,11.0,13.0,nan,42.0,10.0,13.0,5.0,10.0,6.0,12.0,0.0,4.0,5.0,2.0,19.0,0.0,5.0,5.0,4.0,0.0,9.0,9.238095238095237,6.0,4.0,12.0
1963.0,5.0,2.0,19.0,nan,8.0,1.0,3.0,10.0,13.0,4.0,3.0,0.0,1.0,4.0,15.0,23.0,0.0,8.0,6.0,17.0,24.0,22.0,8.952380952380953,6.0,3.0,15.0
1964.0,1.0,9.0,24.0,nan,2.0,6.0,3.0,0.0,7.0,0.0,47.0,14.0,2.0,35.0,1.0,6.0,3.0,20.0,5.0,3.0,1.0,13.0,9.619047619047619,5.0,2.0,13.0
1965.0,7.0,0.0,27.0,nan,20.0,13.0,23.0,0.0,12.0,12.0,7.0,5.0,33.0,12.0,7.0,19.0,6.0,3.0,6.0,10.0,4.0,19.0,11.666666666666666,10.0,6.0,19.0
1966.0,2.0,1.0,1.0,nan,9.0,3.0,4.0,4.0,3.0,21.0,13.0,6.0,7.0,0.0,5.0,6.0,13.0,18.0,3.0,14.0,6.0,12.0,7.190476190476191,6.0,3.0,12.0
1967.0,9.0,15.0,18.0,nan,6.0,17.0,16.0,11.0,6.0,1.0,0.0,12.0,9.0,5.0,14.0,24.0,26.0,18.0,8.0,8.0,5.0,13.0,11.476190476190476,11.0,6.0,16.0
1968.0,2.0,28.0,4.0,nan,23.0,9.0,1.0,2.0,14.0,0.0,12.0,8.0,3.0,3.0,0.0,16.0,1.0,20.0,11.0,17.0,2.0,15.0,9.095238095238095,8.0,2.0,15.0
1969.0,22.0,6.0,22.0,nan,3.0,5.0,11.0,1.0,37.0,9.0,1.0,12.0,19.0,22.0,11.0,19.0,8.0,16.0,18.0,4.0,12.0,7.0,12.619047619047619,11.0,6.0,19.0
1970.0,7.0,0.0,32.0,nan,23.0,5.0,6.0,10.0,10.0,4.0,6.0,2.0,22.0,4.0,5.0,12.0,8.0,15.0,4.0,11.0,7.0,8.0,9.571428571428571,7.0,5.0,11.0
1971.0,4.0,20.0,29.0,nan,43.0,5.0,9.0,0.0,36.0,25.0,0.0,0.0,47.0,21.0,6.0,2.0,9.0,21.0,24.0,10.0,11.0,0.0,15.333333333333334,10.0,4.0,24.0
1972.0,5.0,6.0,11.0,nan,17.0,38.0,8.0,23.0,6.0,10.0,29.0,0.0,5.0,1.0,37.0,8.0,17.0,12.0,1.0,9.0,7.0,10.0,12.380952380952381,9.0,6.0,17.0
1973.0,7.0,11.0,12.0,nan,12.0,1.0,1.0,23.0,7.0,6.0,6.0,39.0,11.0,10.0,8.0,14.0,5.0,8.0,5.0,1.0,14.0,2.0,9.666666666666666,8.0,5.0,12.0
1974.0,8.0,18.0,13.0,nan,3.0,3.0,9.0,4.0,21.0,6.0,5.0,0.0,50.0,4.0,1.0,13.0,10.0,8.0,17.0,5.0,17.0,18.0,11.095238095238095,8.0,4.0,17.0
1975.0,0.0,2.0,29.0,nan,2.0,37.0,8.0,0.0,43.0,2.0,2.0,8.0,32.0,0.0,20.0,12.0,21.0,6.0,3.0,11.0,10.0,22.0,12.857142857142858,8.0,2.0,21.0
1976.0,1.0,7.0,4.0,nan,30.0,16.0,7.0,0.0,17.0,10.0,5.0,3.0,0.0,7.0,5.0,9.0,6.0,5.0,2.0,13.0,11.0,15.0,8.238095238095237,7.0,4.0,11.0
1977.0,17.0,4.0,25.0,nan,29.0,45.0,2.0,10.0,17.0,13.0,42.0,21.0,8.0,6.0,19.0,12.0,11.0,6.0,2.0,9.0,12.0,7.0,15.095238095238095,12.0,7.0,19.0
1978.0,22.0,0.0,30.0,nan,10.0,7.0,0.0,0.0,7.0,7.0,72.0,4.0,2.0,4.0,13.0,3.0,0.0,15.0,3.0,14.0,10.0,31.0,12.095238095238095,7.0,3.0,14.0
1979.0,5.0,50.0,20.0,nan,3.0,4.0,22.0,3.0,21.0,8.0,11.0,16.0,7.0,18.0,14.0,13.0,2.0,8.0,16.0,14.0,17.0,18.0,13.80952380952381,14.0,7.0,18.0
1980.0,11.0,25.0,9.0,nan,0.0,6.0,1.0,6.0,14.0,51.0,0.0,19.0,2.0,1.0,7.0,14.0,0.0,20.0,23.0,3.0,10.0,7.0,10.904761904761905,7.0,2.0,14.0
1981.0,35.0,5.0,19.0,nan,60.0,4.0,10.0,1.0,2.0,13.0,17.0,23.0,57.0,8.0,6.0,20.0,42.0,24.0,13.0,6.0,15.0,24.0,19.238095238095237,15.0,6.0,24.0
1982.0,4.0,5.0,7.0,nan,12.0,12.0,17.0,17.0,17.0,21.0,35.0,2.0,0.0,2.0,10.0,11.0,23.0,6.0,12.0,22.0,8.0,18.0,12.428571428571429,12.0,6.0,17.0
1983.0,0.0,38.0,5.0,nan,21.0,24.0,4.0,3.0,9.0,23.0,0.0,39.0,0.0,4.0,5.0,8.0,20.0,10.0,1.0,9.0,10.0,11.0,11.619047619047619,9.0,4.0,20.0
1984.0,11.0,20.0,7.0,nan,17.0,33.0,21.0,1.0,4.0,6.0,60.0,14.0,32.0,22.0,21.0,21.0,31.0,5.0,19.0,6.0,21.0,5.0,17.952380952380953,19.0,6.0,21.0
1985.0,4.0,64.0,21.0,nan,5.0,10.0,24.0,8.0,2.0,3.0,4.0,0.0,43.0,33.0,24.0,15.0,20.0,11.0,19.0,29.0,8.0,21.0,17.523809523809526,15.0,5.0,24.0
1986.0,17.0,7.0,21.0,nan,28.0,19.0,15.0,2.0,22.0,20.0,2.0,5.0,18.0,12.0,18.0,10.0,18.0,22.0,8.0,34.0,4.0,15.0,15.095238095238095,17.0,8.0,20.0
1987.0,0.0,9.0,5.0,nan,6.0,22.0,4.0,0.0,13.0,43.0,2.0,18.0,14.0,6.0,15.0,11.0,0.0,26.0,21.0,10.0,11.0,30.0,12.666666666666666,11.0,5.0,18.0
1988.0,1.0,12.0,2.0,nan,2.0,49.0,6.0,7.0,15.0,4.0,47.0,8.0,0.0,17.0,10.0,12.0,21.0,8.0,4.0,17.0,24.0,6.0,12.952380952380953,8.0,4.0,17.0
1989.0,25.0,6.0,23.0,nan,45.0,3.0,9.0,7.0,15.0,11.0,12.0,28.0,27.0,13.0,20.0,16.0,9.0,18.0,13.0,20.0,8.0,13.0,16.238095238095237,13.0,9.0,20.0
1990.0,8.0,0.0,14.0,nan,28.0,17.0,6.0,49.0,21.0,13.0,17.0,3.0,12.0,16.0,10.0,24.0,1.0,24.0,9.0,6.0,17.0,12.0,14.619047619047619,13.0,8.0,17.0
1991.0,24.0,32.0,13.0,nan,12.0,13.0,24.0,0.0,17.0,4.0,18.0,12.0,14.0,10.0,9.0,21.0,32.0,13.0,9.0,15.0,13.0,8.0,14.904761904761905,13.0,10.0,18.0
1992.0,17.0,18.0,4.0,nan,4.0,20.0,3.0,0.0,9.0,12.0,0.0,8.0,3.0,8.0,5.0,8.0,26.0,9.0,10.0,9.0,33.0,19.0,10.714285714285714,9.0,4.0,17.0
1993.0,7.0,9.0,14.0,nan,3.0,4.0,10.0,4.0,22.0,5.0,28.0,30.0,0.0,6.0,6.0,9.0,17.0,13.0,5.0,14.0,23.0,33.0,12.476190476190476,9.0,5.0,17.0
1994.0,13.0,40.0,36.0,nan,19.0,3.0,5.0,1.0,22.0,23.0,8.0,19.0,41.0,9.0,16.0,15.0,15.0,2.0,9.0,26.0,15.0,1.0,16.095238095238095,15.0,8.0,22.0
1995.0,9.0,21.0,14.0,nan,9.0,2.0,8.0,2.0,22.0,33.0,16.0,31.0,3.0,8.0,9.0,20.0,11.0,9.0,14.0,28.0,26.0,10.0,14.523809523809524,11.0,9.0,21.0
1996.0,4.0,2.0,27.0,nan,5.0,25.0,11.0,0.0,13.0,5.0,20.0,47.0,13.0,12.0,14.0,25.0,21.0,6.0,16.0,10.0,11.0,16.0,14.428571428571429,13.0,6.0,20.0
1997.0,36.0,45.0,7.0,nan,22.0,3.0,19.0,10.0,3.0,4.0,4.0,2.0,52.0,3.0,28.0,5.0,27.0,33.0,3.0,14.0,13.0,16.0,16.61904761904762,13.0,4.0,27.0
1998.0,3.0,58.0,11.0,nan,27.0,11.0,2.0,27.0,23.0,15.0,27.0,6.0,11.0,19.0,12.0,6.0,19.0,15.0,12.0,11.0,1.0,12.0,15.619047619047619,12.0,11.0,19.0
1999.0,40.0,5.0,0.0,nan,88.0,21.0,11.0,17.0,25.0,12.0,30.0,0.0,9.0,27.0,18.0,14.0,12.0,3.0,4.0,14.0,22.0,9.0,18.142857142857142,14.0,9.0,22.0
2000.0,26.0,0.0,46.0,nan,33.0,7.0,9.0,0.0,8.0,12.0,9.0,7.0,12.0,14.0,15.0,31.0,22.0,11.0,33.0,7.0,25.0,26.0,16.80952380952381,12.0,8.0,26.0
2001.0,37.0,8.0,13.0,nan,17.0,19.0,10.0,8.0,41.0,13.0,22.0,9.0,12.0,16.0,13.0,8.0,34.0,12.0,5.0,26.0,23.0,16.0,17.238095238095237,13.0,10.0,22.0
2002.0,0.0,4.0,19.0,nan,17.0,6.0,63.0,12.0,25.0,30.0,7.0,1.0,46.0,10.0,22.0,28.0,18.0,24.0,43.0,18.0,24.0,18.0,20.714285714285715,18.0,10.0,25.0
2003.0,6.0,21.0,27.0,nan,20.0,33.0,6.0,15.0,25.0,10.0,2.0,39.0,13.0,12.0,24.0,12.0,11.0,3.0,14.0,30.0,16.0,11.0,16.666666666666668,14.0,11.0,24.0
2004.0,9.0,24.0,17.0,nan,0.0,11.0,4.0,16.0,20.0,21.0,39.0,24.0,22.0,18.0,2.0,28.0,10.0,19.0,13.0,11.0,25.0,11.0,16.38095238095238,17.0,11.0,22.0
2005.0,24.0,17.0,29.0,nan,17.0,25.0,28.0,16.0,9.0,6.0,14.0,22.0,3.0,29.0,26.0,23.0,16.0,24.0,12.0,2.0,6.0,15.0,17.285714285714285,17.0,12.0,24.0
2006.0,22.0,50.0,31.0,nan,7.0,13.0,14.0,32.0,26.0,25.0,3.0,10.0,0.0,11.0,25.0,20.0,24.0,50.0,15.0,15.0,5.0,7.0,19.285714285714285,15.0,10.0,25.0
2007.0,7.0,3.0,8.0,nan,21.0,26.0,10.0,24.0,3.0,18.0,0.0,35.0,24.0,46.0,10.0,9.0,33.0,9.0,24.0,24.0,17.0,26.0,17.952380952380953,18.0,9.0,24.0
2008.0,31.0,8.0,8.0,nan,4.0,18.0,27.0,24.0,11.0,34.0,8.0,5.0,41.0,18.0,5.0,13.0,4.0,22.0,24.0,9.0,14.0,32.0,17.142857142857142,14.0,8.0,24.0
2009.0,12.0,28.0,15.0,nan,4.0,18.0,7.0,42.0,15.0,15.0,11.0,12.0,59.0,10.0,24.0,22.0,13.0,43.0,10.0,15.0,18.0,21.0,19.714285714285715,15.0,12.0,22.0
2010.0,9.0,22.0,29.0,nan,19.0,21.0,36.0,24.0,16.0,20.0,6.0,3.0,9.0,35.0,31.0,15.0,14.0,26.0,40.0,39.0,21.0,16.0,21.476190476190474,21.0,15.0,29.0
2011.0,0.0,11.0,12.0,nan,9.0,23.0,26.0,32.0,11.0,27.0,34.0,0.0,31.0,15.0,14.0,13.0,10.0,3.0,29.0,35.0,24.0,20.0,18.047619047619047,15.0,11.0,27.0
2012.0,44.0,13.0,15.0,nan,14.0,46.0,11.0,13.0,10.0,10.0,17.0,32.0,0.0,2.0,8.0,18.0,28.0,22.0,24.0,19.0,28.0,42.0,19.80952380952381,17.0,11.0,28.0
2013.0,34.0,8.0,8.0,nan,3.0,14.0,53.0,48.0,35.0,16.0,36.0,38.0,3.0,46.0,28.0,39.0,15.0,8.0,15.0,17.0,35.0,24.0,24.904761904761905,24.0,14.0,36.0
2014.0,13.0,18.0,29.0,nan,29.0,24.0,11.0,4.0,24.0,39.0,60.0,42.0,2.0,15.0,32.0,17.0,24.0,24.0,16.0,22.0,11.0,17.0,22.523809523809526,22.0,15.0,29.0
2015.0,6.0,8.0,34.0,nan,21.0,19.0,8.0,12.0,15.0,32.0,43.0,48.0,30.0,7.0,28.0,15.0,19.0,9.0,0.0,20.0,61.0,44.0,22.80952380952381,19.0,9.0,32.0
2016.0,26.0,42.0,41.0,nan,31.0,38.0,36.0,30.0,44.0,23.0,48.0,28.0,19.0,14.0,45.0,10.0,57.0,19.0,4.0,14.0,26.0,28.0,29.666666666666668,28.0,19.0,41.0
2017.0,30.0,27.0,26.0,nan,25.0,25.0,19.0,30.0,25.0,20.0,53.0,12.0,7.0,36.0,52.0,20.0,28.0,27.0,26.0,33.0,34.0,37.0,28.19047619047619,27.0,25.0,33.0
2018.0,19.0,11.0,23.0,nan,21.0,12.0,15.0,56.0,11.0,38.0,44.0,40.0,75.0,1.0,33.0,29.0,8.0,20.0,20.0,14.0,62.0,25.0,27.476190476190474,21.0,14.0,38.0
2019.0,8.0,29.0,17.0,nan,0.0,6.0,23.0,5.0,18.0,9.0,22.0,12.0,27.0,13.0,30.0,50.0,18.0,25.0,27.0,31.0,44.0,32.0,21.238095238095237,22.0,12.0,29.0
2020.0,54.0,19.0,26.0,nan,15.0,22.0,11.0,15.0,9.0,27.0,68.0,25.0,64.0,1.0,29.0,27.0,31.0,19.0,9.0,22.0,23.0,51.0,27.0,23.0,15.0,29.0
2021.0,23.0,17.0,18.0,nan,11.0,32.0,4.0,23.0,19.0,52.0,31.0,12.0,30.0,17.0,22.0,37.0,12.0,27.0,8.0,21.0,44.0,6.0,22.19047619047619,21.0,12.0,30.0
2022.0,21.0,3.0,43.0,nan,29.0,65.0,9.0,7.0,17.0,19.0,62.0,0.0,15.0,25.0,63.0,18.0,11.0,16.0,24.0,38.0,29.0,58.0,27.238095238095237,21.0,15.0,38.0
2023.0,31.0,23.0,9.0,nan,15.0,21.0,20.0,83.0,35.0,11.0,11.0,4.0,0.0,19.0,33.0,22.0,33.0,51.0,4.0,19.0,38.0,19.0,23.857142857142858,20.0,11.0,33.0
2024.0,42.0,49.0,29.0,nan,27.0,17.0,33.0,57.0,17.0,19.0,69.0,0.0,13.0,7.0,55.0,23.0,27.0,11.0,14.0,31.0,20.0,33.0,28.238095238095237,27.0,17.0,33.0
2025.0,27.0,66.0,58.0,nan,10.0,21.0,13.0,23.0,25.0,21.0,11.0,0.0,0.0,5.0,17.0,8.0,27.0,10.0,16.0,28.0,36.0,22.0,21.142857142857142,21.0,10.0,27.0
2026.0,32.0,6.0,37.0,nan,6.0,33.0,15.0,20.0,32.0,15.0,9.0,19.0,42.0,25.0,20.0,8.0,6.0,57.0,10.0,16.0,35.0,15.0,21.80952380952381,19.0,10.0,32.0
2027.0,30.0,36.0,34.0,nan,18.0,20.0,26.0,27.0,40.0,11.0,51.0,22.0,9.0,12.0,47.0,23.0,33.0,21.0,14.0,13.0,48.0,41.0,27.428571428571427,26.0,18.0,36.0
2028.0,31.0,39.0,36.0,nan,7.0,31.0,31.0,11.0,23.0,30.0,43.0,20.0,18.0,18.0,50.0,30.0,41.0,14.0,4.0,38.0,27.0,31.0,27.285714285714285,30.0,18.0,36.0
2029.0,8.0,23.0,43.0,nan,6.0,43.0,7.0,26.0,24.0,44.0,21.0,9.0,8.0,19.0,11.0,31.0,42.0,16.0,32.0,32.0,53.0,23.0,24.80952380952381,23.0,11.0,32.0
2030.0,20.0,20.0,41.0,nan,31.0,64.0,40.0,23.0,24.0,11.0,39.0,56.0,63.0,20.0,42.0,43.0,15.0,28.0,12.0,43.0,22.0,30.0,32.714285714285715,30.0,20.0,42.0
2031.0,37.0,33.0,47.0,nan,10.0,15.0,18.0,42.0,13.0,37.0,63.0,73.0,51.0,20.0,32.0,33.0,73.0,43.0,11.0,28.0,38.0,31.0,35.61904761904762,33.0,20.0,43.0
2032.0,42.0,24.0,15.0,nan,10.0,20.0,17.0,14.0,13.0,39.0,12.0,37.0,0.0,8.0,28.0,42.0,21.0,13.0,26.0,42.0,26.0,35.0,23.047619047619047,21.0,13.0,35.0
2033.0,15.0,74.0,51.0,nan,24.0,22.0,9.0,44.0,55.0,15.0,82.0,54.0,63.0,25.0,23.0,45.0,50.0,18.0,17.0,33.0,35.0,35.0,37.57142857142857,35.0,22.0,51.0
2034.0,40.0,25.0,29.0,nan,79.0,67.0,34.0,39.0,45.0,41.0,12.0,44.0,63.0,29.0,75.0,41.0,47.0,22.0,2.0,38.0,22.0,45.0,39.95238095238095,40.0,29.0,45.0
2035.0,35.0,93.0,44.0,nan,51.0,25.0,55.0,12.0,38.0,9.0,78.0,70.0,19.0,12.0,48.0,23.0,45.0,41.0,14.0,39.0,16.0,19.0,37.42857142857143,38.0,19.0,48.0
2036.0,39.0,22.0,36.0,nan,10.0,58.0,84.0,14.0,46.0,20.0,78.0,14.0,37.0,4.0,70.0,32.0,33.0,29.0,9.0,34.0,34.0,38.0,35.285714285714285,34.0,20.0,39.0
2037.0,37.0,13.0,43.0,nan,28.0,41.0,24.0,5.0,46.0,15.0,36.0,44.0,11.0,35.0,50.0,21.0,49.0,27.0,42.0,23.0,29.0,30.0,30.904761904761905,30.0,23.0,42.0
2038.0,43.0,28.0,53.0,nan,4.0,27.0,33.0,20.0,27.0,31.0,87.0,59.0,0.0,14.0,70.0,22.0,4.0,34.0,25.0,20.0,29.0,44.0,32.095238095238095,28.0,20.0,43.0
2039.0,30.0,27.0,34.0,nan,8.0,14.0,40.0,11.0,32.0,54.0,17.0,17.0,81.0,35.0,56.0,19.0,21.0,13.0,13.0,20.0,33.0,41.0,29.333333333333332,27.0,17.0,35.0
2040.0,20.0,56.0,35.0,nan,43.0,39.0,20.0,35.0,29.0,74.0,75.0,26.0,42.0,14.0,74.0,16.0,34.0,25.0,16.0,25.0,43.0,41.0,37.23809523809524,35.0,25.0,43.0
2041.0,39.0,58.0,47.0,nan,27.0,22.0,17.0,58.0,27.0,17.0,47.0,56.0,0.0,26.0,18.0,53.0,25.0,27.0,7.0,25.0,37.0,28.0,31.476190476190474,27.0,22.0,47.0
2042.0,74.0,72.0,39.0,nan,46.0,17.0,25.0,53.0,30.0,19.0,78.0,42.0,27.0,28.0,57.0,10.0,46.0,47.0,16.0,42.0,25.0,20.0,38.714285714285715,39.0,25.0,47.0
2043.0,24.0,68.0,49.0,nan,48.0,75.0,37.0,26.0,37.0,26.0,55.0,34.0,71.0,39.0,47.0,35.0,31.0,38.0,15.0,36.0,34.0,41.0,41.23809523809524,37.0,34.0,48.0
2044.0,33.0,11.0,53.0,nan,47.0,17.0,25.0,16.0,16.0,32.0,60.0,8.0,60.0,29.0,36.0,20.0,32.0,30.0,46.0,32.0,45.0,33.0,32.42857142857143,32.0,20.0,45.0
2045.0,24.0,115.0,72.0,nan,39.0,23.0,33.0,64.0,39.0,22.0,86.0,27.0,12.0,44.0,56.0,48.0,26.0,30.0,25.0,44.0,29.0,50.0,43.23809523809524,39.0,26.0,50.0
2046.0,49.0,44.0,60.0,nan,58.0,35.0,28.0,20.0,27.0,63.0,33.0,90.0,53.0,39.0,45.0,60.0,14.0,37.0,17.0,40.0,32.0,37.0,41.95238095238095,39.0,32.0,53.0
2047.0,41.0,62.0,78.0,nan,48.0,44.0,47.0,15.0,38.0,4.0,18.0,51.0,16.0,35.0,66.0,27.0,45.0,36.0,7.0,28.0,48.0,43.0,37.95238095238095,41.0,27.0,48.0
2048.0,71.0,65.0,76.0,nan,50.0,72.0,56.0,84.0,39.0,24.0,47.0,54.0,31.0,14.0,63.0,27.0,38.0,38.0,12.0,20.0,37.0,31.0,45.19047619047619,39.0,31.0,63.0
2049.0,40.0,25.0,47.0,nan,33.0,59.0,55.0,19.0,31.0,20.0,88.0,86.0,47.0,38.0,70.0,46.0,44.0,20.0,23.0,68.0,47.0,48.0,45.42857142857143,46.0,31.0,55.0
2050.0,34.0,39.0,51.0,nan,20.0,30.0,25.0,43.0,13.0,90.0,67.0,77.0,90.0,65.0,61.0,35.0,61.0,28.0,11.0,49.0,41.0,43.0,46.333333333333336,43.0,30.0,61.0
2051.0,53.0,52.0,73.0,nan,37.0,59.0,36.0,47.0,24.0,35.0,54.0,50.0,64.0,33.0,74.0,52.0,41.0,27.0,39.0,50.0,55.0,33.0,47.04761904761905,50.0,36.0,54.0
2052.0,63.0,49.0,72.0,nan,38.0,16.0,34.0,38.0,23.0,38.0,86.0,95.0,53.0,47.0,90.0,48.0,48.0,25.0,35.0,34.0,53.0,35.0,48.57142857142857,47.0,35.0,53.0
2053.0,44.0,79.0,62.0,nan,71.0,50.0,26.0,62.0,41.0,38.0,117.0,51.0,4.0,14.0,31.0,21.0,30.0,39.0,26.0,40.0,37.0,44.0,44.142857142857146,40.0,30.0,51.0
2054.0,41.0,37.0,71.0,nan,37.0,54.0,33.0,41.0,29.0,33.0,112.0,5.0,99.0,53.0,102.0,38.0,56.0,20.0,17.0,29.0,44.0,34.0,46.904761904761905,38.0,33.0,54.0
2055.0,51.0,77.0,82.0,nan,30.0,29.0,50.0,72.0,55.0,59.0,17.0,45.0,56.0,45.0,98.0,60.0,43.0,45.0,44.0,56.0,46.0,44.0,52.57142857142857,50.0,44.0,59.0
2056.0,46.0,36.0,65.0,nan,47.0,41.0,26.0,26.0,24.0,41.0,49.0,67.0,46.0,29.0,86.0,38.0,53.0,14.0,13.0,55.0,53.0,56.0,43.38095238095238,46.0,29.0,53.0
2057.0,72.0,69.0,77.0,nan,45.0,84.0,36.0,18.0,53.0,57.0,72.0,84.0,13.0,56.0,75.0,50.0,33.0,31.0,22.0,35.0,60.0,40.0,51.523809523809526,53.0,35.0,72.0
2058.0,53.0,84.0,87.0,nan,59.0,31.0,18.0,50.0,34.0,40.0,71.0,57.0,34.0,32.0,95.0,42.0,79.0,38.0,22.0,44.0,34.0,50.0,50.19047619047619,44.0,34.0,59.0
2059.0,43.0,71.0,81.0,nan,40.0,67.0,67.0,62.0,48.0,20.0,37.0,94.0,14.0,56.0,97.0,25.0,47.0,51.0,37.0,36.0,49.0,41.0,51.57142857142857,48.0,37.0,67.0
2060.0,62.0,41.0,75.0,nan,43.0,77.0,19.0,105.0,45.0,34.0,31.0,19.0,29.0,39.0,94.0,38.0,25.0,60.0,49.0,48.0,69.0,56.0,50.38095238095238,45.0,34.0,62.0
2061.0,49.0,85.0,82.0,nan,22.0,80.0,72.0,73.0,43.0,42.0,59.0,14.0,61.0,39.0,78.0,39.0,16.0,18.0,23.0,49.0,46.0,36.0,48.857142857142854,46.0,36.0,72.0
2062.0,74.0,52.0,74.0,nan,17.0,62.0,47.0,77.0,43.0,82.0,99.0,37.0,98.0,69.0,104.0,37.0,55.0,60.0,18.0,26.0,34.0,37.0,57.23809523809524,55.0,37.0,74.0
2063.0,54.0,84.0,98.0,nan,54.0,39.0,67.0,83.0,63.0,56.0,40.0,45.0,13.0,27.0,69.0,63.0,64.0,37.0,27.0,42.0,46.0,57.0,53.714285714285715,54.0,40.0,64.0
2064.0,97.0,98.0,84.0,nan,50.0,29.0,45.0,60.0,68.0,23.0,44.0,51.0,57.0,44.0,102.0,82.0,87.0,45.0,19.0,59.0,46.0,49.0,59.0,51.0,45.0,82.0
2065.0,81.0,44.0,97.0,nan,52.0,58.0,38.0,63.0,6.0,35.0,92.0,2.0,63.0,45.0,102.0,36.0,35.0,58.0,34.0,39.0,47.0,57.0,51.61904761904762,47.0,36.0,63.0
2066.0,88.0,63.0,73.0,nan,58.0,87.0,73.0,68.0,47.0,82.0,61.0,53.0,35.0,45.0,70.0,43.0,32.0,70.0,49.0,60.0,75.0,50.0,61.04761904761905,61.0,49.0,73.0
2067.0,84.0,53.0,82.0,nan,95.0,42.0,44.0,56.0,32.0,59.0,99.0,55.0,33.0,71.0,73.0,52.0,34.0,84.0,17.0,50.0,56.0,52.0,58.23809523809524,55.0,44.0,73.0
2068.0,98.0,58.0,81.0,nan,98.0,55.0,47.0,56.0,74.0,65.0,126.0,52.0,102.0,53.0,111.0,65.0,84.0,73.0,17.0,49.0,68.0,72.0,71.61904761904762,68.0,55.0,84.0
2069.0,78.0,55.0,80.0,nan,53.0,65.0,82.0,69.0,28.0,65.0,97.0,90.0,46.0,51.0,124.0,47.0,58.0,37.0,26.0,55.0,87.0,40.0,63.476190476190474,58.0,47.0,80.0
